id,variant,heuristic,cost
0,AS,learned,15.505324363708496
0,AS,classic,37.44398498535156
0,Elitist,learned,14.782929420471191
0,Elitist,classic,37.504066467285156
0,MMAS,learned,16.049903869628906
0,MMAS,classic,34.12391662597656
1,AS,learned,16.224586486816406
1,AS,classic,38.65430450439453
1,Elitist,learned,15.655555725097656
1,Elitist,classic,38.01347732543945
1,MMAS,learned,16.67732810974121
1,MMAS,classic,33.369720458984375
2,AS,learned,16.468448638916016
2,AS,classic,39.41224670410156
2,Elitist,learned,16.52475357055664
2,Elitist,classic,38.8394775390625
2,MMAS,learned,15.952134132385254
2,MMAS,classic,38.47072219848633
3,AS,learned,17.02195930480957
3,AS,classic,38.15458679199219
3,Elitist,learned,17.02822494506836
3,Elitist,classic,37.82764434814453
3,MMAS,learned,17.806196212768555
3,MMAS,classic,36.07640838623047
4,AS,learned,15.524306297302246
4,AS,classic,33.482337951660156
4,Elitist,learned,15.150501251220703
4,Elitist,classic,35.75227355957031
4,MMAS,learned,15.749140739440918
4,MMAS,classic,38.18941879272461
5,AS,learned,17.934814453125
5,AS,classic,43.17767333984375
5,Elitist,learned,18.250986099243164
5,Elitist,classic,39.21436309814453
5,MMAS,learned,17.578895568847656
5,MMAS,classic,41.045188903808594
6,AS,learned,16.585384368896484
6,AS,classic,38.133277893066406
6,Elitist,learned,16.4068603515625
6,Elitist,classic,37.22085952758789
6,MMAS,learned,16.445051193237305
6,MMAS,classic,38.52511215209961
7,AS,learned,16.650915145874023
7,AS,classic,41.35137176513672
7,Elitist,learned,17.335180282592773
7,Elitist,classic,37.93248748779297
7,MMAS,learned,17.000619888305664
7,MMAS,classic,38.03163146972656
8,AS,learned,17.346057891845703
8,AS,classic,40.18926239013672
8,Elitist,learned,16.229877471923828
8,Elitist,classic,39.69416046142578
8,MMAS,learned,16.666748046875
8,MMAS,classic,38.29393768310547
9,AS,learned,15.745363235473633
9,AS,classic,37.16914367675781
9,Elitist,learned,16.350797653198242
9,Elitist,classic,38.028167724609375
9,MMAS,learned,16.74336051940918
9,MMAS,classic,36.22533416748047
10,AS,learned,16.715160369873047
10,AS,classic,36.474327087402344
10,Elitist,learned,16.890716552734375
10,Elitist,classic,34.73153305053711
10,MMAS,learned,16.975666046142578
10,MMAS,classic,40.24840545654297
11,AS,learned,16.25232696533203
11,AS,classic,37.124176025390625
11,Elitist,learned,16.69226837158203
11,Elitist,classic,36.92732238769531
11,MMAS,learned,16.331520080566406
11,MMAS,classic,36.950233459472656
12,AS,learned,16.174755096435547
12,AS,classic,36.21047592163086
12,Elitist,learned,15.977559089660645
12,Elitist,classic,35.225860595703125
12,MMAS,learned,15.701804161071777
12,MMAS,classic,34.10796356201172
13,AS,learned,15.539177894592285
13,AS,classic,35.840057373046875
13,Elitist,learned,15.758034706115723
13,Elitist,classic,37.68448257446289
13,MMAS,learned,16.391338348388672
13,MMAS,classic,35.98582458496094
14,AS,learned,17.439855575561523
14,AS,classic,37.06123733520508
14,Elitist,learned,15.789133071899414
14,Elitist,classic,36.55442810058594
14,MMAS,learned,16.406864166259766
14,MMAS,classic,36.0267333984375
15,AS,learned,16.156824111938477
15,AS,classic,37.28101348876953
15,Elitist,learned,15.836230278015137
15,Elitist,classic,38.202606201171875
15,MMAS,learned,15.82135009765625
15,MMAS,classic,37.94845199584961
16,AS,learned,16.001956939697266
16,AS,classic,34.32050323486328
16,Elitist,learned,16.0933837890625
16,Elitist,classic,36.47275924682617
16,MMAS,learned,16.073043823242188
16,MMAS,classic,38.004310607910156
17,AS,learned,16.336105346679688
17,AS,classic,39.872718811035156
