id,variant,heuristic,cost
0,AS,learned,5.481166839599609
0,AS,classic,7.9294538497924805
0,Elitist,learned,5.232296466827393
0,Elitist,classic,8.280281066894531
0,MMAS,learned,5.279212951660156
0,MMAS,classic,8.19308853149414
1,AS,learned,5.923360824584961
1,AS,classic,9.34232234954834
1,Elitist,learned,6.301811695098877
1,Elitist,classic,7.9426398277282715
1,MMAS,learned,5.99709415435791
1,MMAS,classic,8.364889144897461
2,AS,learned,4.332174777984619
2,AS,classic,6.882433891296387
2,Elitist,learned,4.36704683303833
2,Elitist,classic,6.717403888702393
2,MMAS,learned,4.265444755554199
2,MMAS,classic,7.024664878845215
3,AS,learned,8.286735534667969
3,AS,classic,8.492300033569336
3,Elitist,learned,8.455782890319824
3,Elitist,classic,8.49820327758789
3,MMAS,learned,8.67740249633789
3,MMAS,classic,9.347651481628418
4,AS,learned,4.73811149597168
4,AS,classic,7.0222930908203125
4,Elitist,learned,4.5259504318237305
4,Elitist,classic,6.627027988433838
4,MMAS,learned,4.432697296142578
4,MMAS,classic,5.982565879821777
5,AS,learned,4.617414474487305
5,AS,classic,7.774359703063965
5,Elitist,learned,4.453065395355225
5,Elitist,classic,8.153932571411133
5,MMAS,learned,4.38045597076416
5,MMAS,classic,7.348655700683594
6,AS,learned,5.078365325927734
6,AS,classic,7.78552770614624
6,Elitist,learned,5.20681095123291
6,Elitist,classic,7.923220634460449
6,MMAS,learned,4.950690269470215
6,MMAS,classic,7.3632707595825195
7,AS,learned,4.125373363494873
7,AS,classic,6.688436031341553
7,Elitist,learned,4.068179607391357
7,Elitist,classic,7.6171441078186035
7,MMAS,learned,4.125373363494873
7,MMAS,classic,6.69231653213501
8,AS,learned,4.560734272003174
8,AS,classic,7.663961410522461
8,Elitist,learned,4.560734272003174
8,Elitist,classic,6.7454400062561035
8,MMAS,learned,4.668951988220215
8,MMAS,classic,7.604231834411621
9,AS,learned,5.413780689239502
9,AS,classic,8.470766067504883
9,Elitist,learned,5.401778221130371
9,Elitist,classic,8.660686492919922
